"","Date","AGG","DBC","DFE","DIA","DXJ","EEM","EFA","EWG","EWH","EWI","EWT","EWU","EWW","EWY","EWZ","EZU","FEZ","FXI","GDX","GLD","IAU","IBB","ITB","IVV","IWD","IWM","IYR","KBE","KRE","LQD","OIL","SDS","SH","SLV","SPY","USO","VGK","VNQ","VTI","VWO","XHB","XLB","XLE","XLF","XLI","XLK","XLP","XLU","XLV","XLY","XME","XOP","USDOLLAR"
"1",2013-05-14,98.356033,26.139999,38.223469,135.850525,41.117676,39.010826,54.282848,23.707258,17.445478,24.068674,25.312872,32.048912,65.771255,52.773621,47.637608,31.113029,30.957085,33.59351,27.712507,137.809998,13.85,61.604462,25.622921,150.19371,76.063141,91.441589,61.145134,25.680803,29.871223,101.070107,21.92,156.388702,57.810932,22.57,149.531723,33.560001,44.133335,63.709511,77.446632,38.683403,31.334127,36.829739,71.525566,11.076737,39.392109,28.946993,36.680855,33.463615,45.485207,53.396114,34.784904,57.389385,83.71
"2",2013-05-15,98.498909,26.08,38.317913,136.430954,41.681488,39.019829,54.516308,23.643967,17.538588,24.230818,25.29487,32.13245,65.625336,52.572819,47.663872,31.157183,30.982819,33.59351,26.448017,134.630005,13.54,60.889748,25.58358,150.95311,76.483078,91.628189,61.687988,25.865561,30.027714,101.424911,21.98,154.79332,57.53146,21.76,150.337158,33.610001,44.260147,64.340469,77.782982,38.648296,31.421299,37.037453,71.323448,11.178253,39.554928,29.038567,37.041325,33.782391,45.726227,53.684685,34.32296,57.190273,83.96
"3",2013-05-16,98.766884,26.049999,38.274982,136.13623,41.15794,38.884903,54.144501,23.580675,17.479332,24.140736,25.348879,32.13245,64.959503,53.047436,47.655121,30.998217,30.785519,33.406639,26.52524,134.089996,13.48,59.635681,25.190142,150.229858,76.161423,91.394936,61.490589,25.800898,29.944866,101.889542,22.16,156.229156,57.751049,21.950001,149.631256,33.869999,44.065731,64.008392,77.464798,38.499107,30.898256,36.865856,70.971992,11.104935,39.355919,29.194242,36.821529,33.50555,45.253468,53.060989,34.175133,56.763615,83.72
"4",2013-05-17,98.525726,26.18,38.549725,137.138336,41.987553,39.055805,54.516308,23.770552,17.606302,24.302877,25.51091,32.266136,64.53994,53.093067,47.690144,31.271994,31.145782,33.735889,25.463459,131.070007,13.17,60.224655,25.58358,151.703445,76.983437,92.421326,61.877178,26.161173,30.340691,101.450287,22.379999,153.277695,57.232025,21.4,151.079254,34.209999,44.386936,64.365364,78.25573,38.630741,31.40192,37.263248,72.158226,11.251575,39.952915,29.487284,36.874283,33.824341,45.513016,53.57299,34.433834,58.034096,84.39
"5",2013-05-20,98.427467,26.35,38.807301,137.048721,42.003662,39.154743,54.818932,23.860968,17.767132,24.555094,25.474901,32.44994,63.600483,53.31213,48.101727,31.386805,31.205835,34.145245,27.046478,135.119995,13.57,59.480167,25.308168,151.739639,77.072792,92.570625,61.844265,26.290495,30.515591,101.331993,22.540001,153.237793,57.192101,22.280001,151.07019,34.439999,44.522182,64.514793,78.246635,38.718502,31.121038,37.299362,73.177513,11.274132,40.070503,29.487284,36.496208,33.656555,45.197853,53.414734,35.791965,59.361446,83.84
"6",2013-05-21,98.507866,26.200001,38.987591,137.469635,42.615791,39.073795,54.931332,23.942343,17.775597,24.465019,25.546917,32.44994,62.706623,53.266491,48.39946,31.457449,31.22299,33.922775,26.3708,132.880005,13.35,60.069145,25.081944,151.929504,77.242561,92.589302,62.132133,26.27202,30.515591,101.712143,22.33,152.719299,57.152176,21.620001,151.287399,34.110001,44.648983,64.880089,78.373924,38.692173,31.053238,37.254208,73.028107,11.302333,40.124786,29.395708,36.53138,33.723671,45.689144,53.656765,35.939785,59.02013,83.95
"7",2013-05-22,98.177391,26.08,38.498207,136.869659,42.39027,38.642036,54.377964,23.815758,17.589373,24.122725,25.312872,32.182587,61.621231,52.828388,48.084209,31.174847,30.948494,33.406639,26.708637,131.940002,13.26,59.883854,24.895052,150.790344,76.500969,91.23632,60.59404,25.884039,30.036919,100.909584,21.879999,155.311813,57.551426,21.51,150.165207,33.459999,44.234783,63.302727,77.601166,38.253391,30.627052,36.748455,72.184578,11.183896,39.772015,29.075195,36.469833,33.153217,45.689144,53.144772,35.50555,58.138386,84.46
"8",2013-05-23,98.14164,26.200001,38.343666,136.806976,40.561924,38.354195,53.599777,23.761511,17.267723,23.996614,24.916794,31.965361,62.131996,52.435909,47.856529,31.18368,30.93992,33.086277,26.901691,134.610001,13.53,59.979797,25.091772,150.347397,76.322258,91.348282,59.746887,25.828606,29.963276,101.010994,21.92,155.870209,57.751049,21.879999,149.730835,33.540001,43.9981,62.115524,77.455711,37.972572,30.791712,36.766518,72.219719,11.116216,39.663471,29.066038,36.320374,32.926723,45.670601,53.03307,35.219151,58.166836,83.8
"9",2013-05-24,98.14164,26.1,38.378006,136.806976,39.321545,38.021393,53.132866,23.643967,17.149216,23.906536,24.772768,31.898521,61.566509,52.143841,47.795235,31.068871,30.879875,32.534542,26.544544,133.759995,13.45,59.804436,24.973747,150.211761,76.241859,91.329605,59.516579,25.902514,30.082941,100.943413,21.799999,156.149414,57.771008,21.610001,149.604111,33.369999,43.955818,61.957787,77.355713,37.5952,30.723906,36.640087,71.797943,11.127496,39.536831,29.02025,36.663265,32.574383,45.531551,52.874809,34.941975,57.882397,83.76
"10",2013-05-28,97.534294,26.34,38.42094,137.80098,39.692047,38.228275,53.271206,23.860968,17.343903,24.284861,25.024818,31.982073,61.548264,52.68235,47.558796,31.360308,31.205835,33.068474,26.274275,133.490005,13.42,60.562164,25.052435,151.133896,76.626053,92.514626,58.924358,26.207361,30.451162,99.971893,22.09,154.434357,57.41169,21.530001,150.500061,33.790001,44.209419,61.426472,77.855728,37.779499,30.927313,36.974239,72.553627,11.240294,39.744873,29.157614,36.724812,32.196877,45.995033,53.386806,35.27459,58.754662,84.17
"11",2013-05-29,97.668266,26.17,38.618408,136.869659,38.491943,37.742554,52.761063,23.716299,17.00532,24.284861,24.98881,31.714718,61.402328,52.773621,45.886223,31.236664,31.077173,32.552338,27.509802,134.830002,13.54,59.913624,24.285221,150.11232,76.384811,91.656204,57.748169,26.170406,30.313084,99.929672,21.620001,156.229156,57.810932,21.709999,149.52269,33.099998,43.913563,60.123051,77.328468,37.252956,30.22024,36.856834,72.395454,11.240294,39.518742,29.084352,36.021431,31.718706,45.272011,52.837582,35.182194,58.716736,83.7
"12",2013-05-30,97.641472,26.17,39.090622,137.102554,38.201981,37.742554,52.968582,23.978506,16.861423,24.609142,24.826777,31.915226,61.24728,53.266491,45.859947,31.545763,31.377388,32.694721,29.0156,136.699997,13.73,60.628349,24.295055,150.708969,76.706467,92.272026,57.19709,26.530678,30.607651,100.056404,21.719999,155.07251,57.551426,21.98,150.074753,33.25,44.277046,59.558506,77.646622,37.165188,30.239613,36.974239,72.228523,11.375651,39.753929,29.267506,35.880772,31.802593,45.596436,52.837582,35.588715,58.489182,83.07
"13",2013-05-31,97.453911,25.860001,38.515377,135.311523,37.275726,37.058937,51.93964,23.643967,16.6752,23.9786,24.556728,31.363815,62.332661,52.609325,44.563931,30.892242,30.699739,32.045101,28.475058,133.919998,13.46,59.394138,23.931122,148.539215,75.580666,91.254974,56.497963,26.179646,30.211821,99.557945,21.27,159.699158,58.429768,21.440001,147.920853,32.610001,43.423294,58.761524,76.610245,36.454372,29.929659,36.396233,70.734741,11.189535,39.37402,28.992781,35.212563,31.609644,44.595341,52.241802,34.784904,57.256638,83.4
"14",2013-06-03,97.503136,26.18,38.953251,136.395081,36.558891,37.607628,52.138515,23.879049,16.84449,24.392958,25.006813,31.647879,61.648582,53.668083,45.080589,31.201347,30.999975,32.516743,29.30518,136.509995,13.71,58.709198,23.704895,149.325775,75.938065,92.122742,56.637798,26.087265,30.239433,99.296112,21.639999,157.864456,58.090408,21.98,148.735321,33.16,43.854393,59.093597,76.91935,37.033562,29.66814,36.576855,71.420113,11.200812,39.563976,29.139299,35.599426,31.676762,44.836349,52.474522,35.172943,57.768631,82.69
"15",2013-06-04,97.288376,26.280001,38.798706,135.795059,37.436813,37.148888,52.328739,23.698215,16.751381,24.248829,24.610739,31.564327,61.301998,53.038307,44.774094,30.989388,30.776945,32.196384,28.803246,135.229996,13.58,57.643749,23.045877,148.647736,75.527061,91.143005,55.979809,25.865561,30.009298,98.906319,21.68,159.419968,58.369877,21.77,148.020416,33.200001,43.643074,58.271713,76.546608,36.612324,29.038548,36.531708,70.85775,11.099298,39.346889,29.011097,35.608212,31.567707,44.558262,52.288345,34.849583,57.711739,82.8
"16",2013-06-05,97.234695,26.16,38.515377,133.708557,35.737339,36.483269,51.161453,23.408884,16.243509,23.996614,24.376692,31.079756,59.523407,52.134708,43.915916,30.565481,30.322329,31.760332,28.890118,135.520004,13.62,56.336742,22.68194,146.496063,74.499535,89.976662,55.379356,25.486816,29.595068,98.76226,21.74,163.926956,59.188335,21.780001,145.947968,33.259998,43.017536,57.790176,75.464783,35.866379,28.670483,35.718884,70.031792,10.918819,38.632309,28.727213,35.177395,31.290867,43.909401,51.422619,34.332191,56.763615,82.61
"17",2013-06-06,97.485222,26.26,39.064869,134.550323,34.980232,36.789093,51.446789,23.680134,16.302759,23.888525,24.574728,31.163303,60.645294,52.362896,44.143597,30.83042,30.528187,31.965002,29.247263,136.529999,13.73,57.96471,23.37047,147.834076,75.24115,90.928406,56.415718,25.773184,29.852812,99.185936,21.969999,160.895706,58.689274,21.93,147.269257,33.619999,43.372574,58.720024,76.173874,36.234966,29.33882,35.953701,70.559006,11.071099,38.87653,28.791313,35.326862,31.659979,44.549,51.96254,34.415337,57.294567,81.54
